alg,n,proc,threads,primes,time
2,27,14,0,7603553,0.268962
2,28,14,0,14630843,0.56326
2,29,14,0,28192750,1.15539
2,30,14,0,54400028,2.52684
2,31,14,0,105097565,4.96329
2,32,14,0,203280221,10.055
2,25,15,0,2063689,0.0355201
2,26,15,0,3957809,0.129395
2,27,15,0,7603553,0.273542
2,28,15,0,14630843,0.55074
2,29,15,0,28192750,1.13376
2,30,15,0,54400028,2.28236
2,31,15,0,105097565,4.65382
2,32,15,0,203280221,9.62217
2,25,16,0,2063689,0.0554394
2,26,16,0,3957809,0.102405
2,27,16,0,7603553,0.262992
2,28,16,0,14630843,0.510649
2,29,16,0,28192750,1.11391
2,30,16,0,54400028,2.19394
2,31,16,0,105097565,4.44212
2,32,16,0,203280221,9.03675
3,25,4,1,2063689,0.0324406
3,26,4,1,3957809,0.117803
3,27,4,1,7603553,0.280956
3,28,4,1,14630843,0.626726
3,29,4,1,28192750,1.31878
3,30,4,1,54400028,2.78476
3,31,4,1,105097565,5.75474
3,32,4,1,203280221,11.7292
3,25,4,2,2063689,0.0219274
3,26,4,2,3957809,0.104018
3,27,4,2,7603553,0.240667
3,28,4,2,14630843,0.516971
3,29,4,2,28192750,1.08496
3,30,4,2,54400028,2.25793
3,31,4,2,105097565,5.02404
3,32,4,2,203280221,10.5784
3,25,4,3,2063689,0.0186669
3,26,4,3,3957809,0.0967818
3,27,4,3,7603553,0.230858
3,28,4,3,14630843,0.5114
3,29,4,3,28192750,1.06975
3,30,4,3,54400028,2.19106
3,31,4,3,105097565,4.52718
3,32,4,3,203280221,9.28241
3,25,4,4,2063689,0.0189002
3,26,4,4,3957809,0.0996957
3,27,4,4,7603553,0.235291
3,28,4,4,14630843,0.499904
3,29,4,4,28192750,1.08017
3,30,4,4,54400028,2.17937
3,31,4,4,105097565,4.85783
3,32,4,4,203280221,9.96409
3,25,4,5,2063689,0.019025
3,26,4,5,3957809,0.0987313
3,27,4,5,7603553,0.244902
3,28,4,5,14630843,0.531735
3,29,4,5,28192750,1.12013
3,30,4,5,54400028,2.3194
3,31,4,5,105097565,4.81101
3,32,4,5,203280221,9.76734
3,25,4,6,2063689,0.0240613
3,26,4,6,3957809,0.104627
3,27,4,6,7603553,0.245391
3,28,4,6,14630843,0.526062
3,29,4,6,28192750,1.11099
3,30,4,6,54400028,2.28052
3,31,4,6,105097565,4.63965
3,32,4,6,203280221,9.58318
3,25,4,7,2063689,0.0273418
3,26,4,7,3957809,0.120884
3,27,4,7,7603553,0.281752
3,28,4,7,14630843,0.599496
3,29,4,7,28192750,1.28537
3,30,4,7,54400028,2.65608
3,31,4,7,105097565,5.32698
3,32,4,7,203280221,9.55039
3,25,4,8,2063689,0.0292419
3,26,4,8,3957809,0.112169
3,27,4,8,7603553,0.265152
3,28,4,8,14630843,0.563765
3,29,4,8,28192750,1.15049
3,30,4,8,54400028,2.4323
3,31,4,8,105097565,4.93059
3,32,4,8,203280221,9.98607
3,25,8,1,2063689,0.0217839
3,26,8,1,3957809,0.101152
3,27,8,1,7603553,0.23614
3,28,8,1,14630843,0.530167
3,29,8,1,28192750,1.07047
3,30,8,1,54400028,2.16921
3,31,8,1,105097565,4.56744
3,32,8,1,203280221,9.33379
3,25,8,2,2063689,0.0375706
3,26,8,2,3957809,0.106552
3,27,8,2,7603553,0.22619
3,28,8,2,14630843,0.531075
3,29,8,2,28192750,1.04119
3,30,8,2,54400028,2.13339
3,31,8,2,105097565,4.64481
3,32,8,2,203280221,9.20916
3,25,8,3,2063689,0.0510046
3,26,8,3,3957809,0.0769874
3,27,8,3,7603553,0.244269
3,28,8,3,14630843,0.499093
3,29,8,3,28192750,1.07527
3,30,8,3,54400028,2.19035
3,31,8,3,105097565,4.53986
3,32,8,3,203280221,9.29476
3,25,8,4,2063689,0.0452482
3,26,8,4,3957809,0.109657
3,27,8,4,7603553,0.243484
3,28,8,4,14630843,0.522235
3,29,8,4,28192750,1.06993
3,30,8,4,54400028,2.23625
3,31,8,4,105097565,4.62817
3,32,8,4,203280221,9.44202
3,25,12,1,2063689,0.0237683
3,26,12,1,3957809,0.10862
3,27,12,1,7603553,0.261981
3,28,12,1,14630843,0.537154
3,29,12,1,28192750,1.13484
3,30,12,1,54400028,2.37317
3,31,12,1,105097565,4.83815
3,32,12,1,203280221,10.3452
3,25,12,2,2063689,0.0368518
3,26,12,2,3957809,0.093974
3,27,12,2,7603553,0.265083
3,28,12,2,14630843,0.581652
3,29,12,2,28192750,1.25018
3,30,12,2,54400028,2.61132
3,31,12,2,105097565,4.70619
3,32,12,2,203280221,9.29798
3,25,12,3,2063689,0.0385212
3,26,12,3,3957809,0.0655262
3,27,12,3,7603553,0.204352
3,28,12,3,14630843,0.532469
3,29,12,3,28192750,1.11929
3,30,12,3,54400028,2.23384
3,31,12,3,105097565,4.62639
3,32,12,3,203280221,9.53127
3,25,16,1,2063689,0.0242194
3,26,16,1,3957809,0.10312
3,27,16,1,7603553,0.243315
3,28,16,1,14630843,0.51965
3,29,16,1,28192750,1.10323
3,30,16,1,54400028,2.27304
3,31,16,1,105097565,4.72609
3,32,16,1,203280221,9.38476
3,25,16,2,2063689,0.0423059
3,26,16,2,3957809,0.0724826
3,27,16,2,7603553,0.227972
3,28,16,2,14630843,0.503423
3,29,16,2,28192750,1.03
3,30,16,2,54400028,2.20752
3,31,16,2,105097565,4.5252
3,32,16,2,203280221,9.28124
