C++,Mult,0,600,0.180,261781638,37409938
C++,Mult,0,1000,0.907,1129877941,125479091
C++,Mult,0,1400,4.045,3096630546,344881119
C++,Mult,0,1800,9.164,6584792966,736871023
C++,Mult,0,2200,17.045,12003577692,1342104936
C++,Mult,0,2600,28.398,19807143673,2221745169
C++,Mult,0,3000,44.630,30416507844,3426077471
Java,Mult,0,600,0.207493993,0,0
Java,Mult,0,1000,0.968198859,0,0
Java,Mult,0,1400,4.27561532,0,0
Java,Mult,0,1800,9.364103506,0,0
Java,Mult,0,2200,16.566844615,0,0
Java,Mult,0,2600,29.534766379,0,0
Java,Mult,0,3000,50.123057997,0,0
C++,LineMult,0,600,0.075,27210703,719725
C++,LineMult,0,1000,0.345,125797065,3562799
C++,LineMult,0,1400,1.210,347892850,126371770
C++,LineMult,0,1800,2.633,742357917,360154754
C++,LineMult,0,2200,5.064,2069772403,660268036
C++,LineMult,0,2600,8.769,4421993121,1036240015
C++,LineMult,0,3000,13.539,6793179052,1608869498
Java,LineMult,0,600,0.146172668,0,0
Java,LineMult,0,1000,0.63294373,0,0
Java,LineMult,0,1400,1.771686639,0,0
Java,LineMult,0,1800,3.808327081,0,0
Java,LineMult,0,2200,6.952986107,0,0
Java,LineMult,0,2600,11.726275034,0,0
Java,LineMult,0,3000,17.936541022,0,0
C++,LineMult,0,4000,31.479,16086516335,4028209532
C++,LineMult,0,6000,107.903,54195982328,13479358002
C++,LineMult,0,8000,256.271,128465690456,32028024558
C++,LineMult,0,10000,506.150,250589150673,61091884182
C++,Mult,1,600,0.190,263422818,38090921
C++,Mult,1,1000,0.893,1128598794,125482759
C++,Mult,1,1400,4.054,3094787719,344868394
C++,Mult,1,1800,9.105,6580953937,736005526
C++,Mult,1,2200,17.037,12001664989,1343764336
C++,Mult,1,2600,28.396,19804276600,2226064809
C++,Mult,1,3000,44.406,30412288158,3421708413
C++,Mult,2,600,0.102,126246748,18154281
C++,Mult,2,1000,0.582,576103590,78390081
C++,Mult,2,1400,2.189,1589032043,224282008
C++,Mult,2,1800,4.691,3383324273,483317528
C++,Mult,2,2200,8.733,6163005738,875416907
C++,Mult,2,2600,14.459,10170439457,1447638903
C++,Mult,2,3000,22.324,15620631619,2227570413
C++,Mult,3,600,0.070,85872373,12998056
C++,Mult,3,1000,0.392,382095090,49473772
C++,Mult,3,1400,1.476,1052883470,142356836
C++,Mult,3,1800,3.156,2240107276,306236728
C++,Mult,3,2200,5.857,4083574151,556104819
C++,Mult,3,2600,9.702,6735583451,919346835
C++,Mult,3,3000,14.990,10341084214,1416091501
C++,Mult,4,600,0.055,62953548,8497960
C++,Mult,4,1000,0.290,284861377,35128197
C++,Mult,4,1400,1.118,784974221,100560968
C++,Mult,4,1800,2.380,1670505363,216132396
C++,Mult,4,2200,4.427,3043416899,392290621
C++,Mult,4,2600,7.336,5022164164,648158585
C++,Mult,4,3000,11.359,7713852133,997146188
C++,LineMult,1,600,0.117,27179417,951349
C++,LineMult,1,1000,0.544,125629096,4635073
C++,LineMult,1,1400,1.531,346574385,65724831
C++,LineMult,1,1800,3.192,745218187,230253244
C++,LineMult,1,2200,6.004,2085105045,450802866
C++,LineMult,1,2600,10.466,4411697703,736703382
C++,LineMult,1,3000,15.763,6779053982,1200686797
C++,LineMult,2,600,0.054,13682172,401801
C++,LineMult,2,1000,0.254,63028408,4169152
C++,LineMult,2,1400,0.832,173548910,63166189
C++,LineMult,2,1800,1.784,374795557,135448948
C++,LineMult,2,2200,3.321,1042941656,235457962
C++,LineMult,2,2600,5.621,2204809743,389443330
C++,LineMult,2,3000,9.268,3385656012,590895307
C++,LineMult,3,600,0.040,9129280,370116
C++,LineMult,3,1000,0.189,42194279,2010035
C++,LineMult,3,1400,0.560,116068113,21730420
C++,LineMult,3,1800,1.197,248487584,48507961
C++,LineMult,3,2200,2.240,694366036,138812638
C++,LineMult,3,2600,3.810,1472032860,260550520
C++,LineMult,3,3000,5.986,2260795853,420410691
C++,LineMult,4,600,0.029,6908312,241904
C++,LineMult,4,1000,0.136,31681220,2559207
C++,LineMult,4,1400,0.426,87139792,20435897
C++,LineMult,4,1800,0.930,187707063,73677285
C++,LineMult,4,2200,1.702,515908565,52972474
C++,LineMult,4,2600,2.845,1102900207,146228694
C++,LineMult,4,3000,4.359,1696725903,307269022
